model,mean_acc,std_acc,n_folds
lda,0.6619621258939942,0.09959063409824943,11
rf-tuned,0.7900874984842172,0.08346598184600457,11
et-tuned,0.797387438666406,0.09086652228317797,11
svm-tuned,0.6787389182611091,0.09495335307724176,11
