model,mean_acc,std_acc,n_folds
lda,0.6191913350558856,0.135566363696923,11
rf,0.6348062647940563,0.09667579242577892,11
et,0.6558533351246839,0.09494972520532029,11
knn,0.49939477016518724,0.09571556325048916,11
